Order Year,Order Month,Order Quarter,Region,Product Category,Product_Group,Price_Tier,Sales,Quantity,Discount,Profit,Profit Margin,Shipping Cost,Browsing Time (min),Average_Order_Value,Discount_Level,Profit_Margin_Level,LTV_Proxy,Education_Level,Is_Holiday_Season,Purchase_Frequency,Season
2023,2,Q1,华东,家居,产品11,低价,1167.6677601710455,8,0.2205078447315296,30.847205720756843,23.069378210237712,9.055113482036504,28.48227906688679,145.9584700213807,高折扣,高利润,1437.0414520039155,高等教育,True,高频,冬
2024,8,Q3,西北,家居,产品32,低价,3342.989467058591,2,0.2599353189747124,46.06118886870295,18.52199413846875,39.671665390356345,19.34072306980292,1671.4947335292954,高折扣,中利润,3962.177780196811,高等教育,True,低频,夏
2024,2,Q1,华北,美妆,产品11,高价,3205.1868388510925,9,0.1562646535342533,903.5166936945236,41.14685302822077,32.75675979690088,25.64921372060158,356.13187098345475,中等折扣,超高利润,4524.020356713027,高等教育,True,中频,冬
2022,4,Q2,华北,家居,产品18,低价,3007.9607752531465,5,0.2007797387530973,82.57275993258264,17.240115817894534,31.93867304734376,19.890139046576,601.5921550506293,高折扣,中利润,3526.536696663627,高等教育,False,中频,春
2024,1,Q1,华东,电子产品,产品27,中价,179.59287172632315,6,0.2445045950028444,895.2403370304055,37.53245409752512,18.164319281670643,43.50646984166875,29.932145287720527,高折扣,超高利润,246.99848386943256,高等教育,True,中频,冬
2024,5,Q2,西南,家居,产品18,低价,3671.0124668081726,3,0.078202547322178,235.88425461339676,14.278868566484102,35.77520096499546,27.580791650637277,1223.6708222693908,低折扣,中利润,4195.191512002957,其他,False,中频,春
2023,9,Q3,西北,美妆,产品23,高价,1685.2990211789086,3,0.0890687022804128,742.6176221566307,16.24342082352483,40.76589896693494,33.96639854650856,561.7663403929695,低折扣,中利润,1959.0492333237437,中等教育,False,高频,秋
2022,1,Q1,华南,家居,产品11,低价,3358.7743461324926,8,0.0001882549885368,316.635916456552,20.140752315974552,10.078617422466372,42.199265688727664,419.8467932665616,低折扣,高利润,4035.2567680395314,高等教育,True,中频,冬
2023,9,Q3,华东,食品,产品21,中价,2827.234299660551,2,0.2889282392693407,860.164505353092,31.51203698272047,29.008464394144276,27.030370208336542,1413.6171498302756,高折扣,超高利润,3718.1534177577423,高等教育,False,低频,秋
2023,11,Q4,西南,食品,产品44,中价,1779.381534596745,2,0.2752634683789034,703.4503167701143,25.449004362179352,9.556933144433437,1.5307507841856332,889.6907672983725,高折扣,高利润,2232.2164189560845,高等教育,False,中频,秋
2023,8,Q3,华南,美妆,产品5,高价,759.423708810128,5,0.2293704791278291,407.7953240156782,38.53151644225192,44.265830868394005,2.508833845663864,151.8847417620256,高折扣,超高利润,1052.041180036662,高等教育,True,高频,夏
2023,6,Q2,华北,电子产品,产品23,中价,562.6525985363567,6,0.0237228062929944,85.53942963233875,14.610528515128657,27.843652519535627,31.90289110048192,93.77543308939278,低折扣,中利润,644.8591168866234,高等教育,False,低频,夏
2023,7,Q3,华北,电子产品,其他,中价,4174.439832249896,2,0.1342508669098524,735.373182032099,5.480252953197535,41.35845601673408,13.279745990656474,2087.219916124948,中等折扣,低利润,4403.209694436226,其他,True,高频,夏
2023,3,Q1,华南,服装,产品25,低价,4600.147956199634,5,0.0305675261914658,620.7159084055297,39.9450862303349,21.56385369497964,26.492708003309744,920.0295912399267,低折扣,超高利润,6437.681024026566,高等教育,False,高频,春
2023,1,Q1,华东,美妆,其他,高价,3283.961429145068,7,0.0047760801788395,12.882600655450853,41.97422002460326,10.628520206734644,9.900195967989433,469.137347020724,低折扣,超高利润,4662.378624937525,其他,True,低频,冬
2022,5,Q2,华北,家居,产品10,低价,606.8271628163685,8,0.1848548895637791,19.325657412720872,7.676607339877529,6.867468697357016,12.89095050271542,75.85339535204606,中等折扣,低利润,653.4109013375005,高等教育,False,高频,春
2024,12,Q4,西北,美妆,产品22,高价,2069.9333627523797,7,0.2882488251240565,810.705043460767,32.49083849712784,17.667932934756898,23.204206461715312,295.70476610748284,高折扣,超高利润,2742.4720686424225,高等教育,True,高频,冬
2023,12,Q4,华南,服装,产品19,低价,3671.802080515271,8,0.270860407029645,266.80574141383534,22.019305274288502,15.990516516383536,43.92505638766761,458.9752600644089,高折扣,高利润,4480.307389691605,中等教育,True,高频,冬
2023,2,Q1,华南,美妆,产品1,高价,3921.122331649334,9,0.2090264444806213,639.772331050785,40.725304483753256,30.21583883089828,28.11590152520443,435.6802590721482,高折扣,超高利润,5518.01134039397,高等教育,True,低频,冬
2023,5,Q2,华北,美妆,产品7,高价,679.2712492263341,5,0.0289921752494614,459.67227556759497,44.348654938841534,5.978247712866831,42.19051659857302,135.85424984526682,低折扣,超高利润,980.5189116444793,高等教育,False,低频,春
2023,8,Q3,华东,服装,产品4,低价,100.15052234237385,5,0.08224921130169,864.7957143765495,43.29516950587621,28.4256744934628,43.21271359302569,20.030104468474768,低折扣,超高利润,143.51086075152503,中等教育,True,低频,夏
2023,11,Q4,西北,电子产品,产品1,中价,3589.4715248149646,4,0.0960170180655872,917.7915019714636,39.97419113078835,22.62972839054014,10.156839842502327,897.3678812037411,低折扣,超高利润,5024.333732729721,高等教育,False,高频,秋
2023,9,Q3,华东,家居,产品15,低价,1847.3212623324075,9,0.2289450173236683,996.8396355520656,17.10735029339733,30.970502146149897,14.692518508633556,205.25791803693417,高折扣,中利润,2163.348981724022,高等教育,False,中频,秋
2024,2,Q1,西南,服装,产品40,低价,1346.9585249294753,5,0.2406747537705342,162.14729444917435,41.53503396057425,36.60878876676641,34.87966037362298,269.39170498589505,高折扣,超高利润,1906.418205693783,高等教育,True,中频,冬
2024,12,Q4,西南,食品,产品12,中价,163.19760196867466,2,0.1155318368969761,864.3344060107206,29.00653141578317,33.53413752859275,39.13761610081913,81.59880098433733,中等折扣,高利润,210.53556565352307,高等教育,True,高频,冬
2023,3,Q1,华北,电子产品,产品22,中价,2747.4670931313485,8,0.1253651989852829,273.36116296151374,7.374047667444087,49.30899662180149,23.84597674433922,343.43338664141856,中等折扣,低利润,2950.066626226195,高等教育,False,高频,春
2024,3,Q1,华北,食品,产品22,中价,4270.63860358731,7,0.0133527117828514,594.9077161465526,25.5622482454212,11.221940474459196,44.701946960344166,610.0912290839015,低折扣,高利润,5362.309845101087,其他,False,中频,春
2022,1,Q1,华北,电子产品,产品47,中价,4792.39506673568,8,0.0867410155256283,510.7151055305188,47.397106266349695,24.338165401840037,1.5091767452318918,599.04938334196,低折扣,超高利润,7063.851649219691,中等教育,True,高频,冬
2023,8,Q3,西南,家居,产品17,低价,2872.1502580051174,3,0.1353855531532919,27.80825025666378,44.95367073809987,24.117383148949003,14.182076845749489,957.3834193350391,中等折扣,超高利润,4163.287228092224,高等教育,True,中频,夏
2022,6,Q2,华东,家居,产品29,低价,2620.860505925481,4,0.0350949139155772,933.4435671070338,9.601892644870222,23.76739416663143,28.419117164761516,655.2151264813702,低折扣,低利润,2872.512718076248,高等教育,False,中频,夏
2022,12,Q4,华东,美妆,产品46,高价,516.7762888972813,5,0.1359802382265064,87.54378459772626,38.48570085714666,34.87092764192008,21.64875608124925,103.35525777945627,中等折扣,超高利润,715.6612655429531,中等教育,True,中频,冬
2023,8,Q3,华北,食品,产品14,中价,2789.4767275587387,6,0.2559527436773401,691.3367302136585,41.260678968120565,27.04226272460251,6.130530522867232,464.9127879264565,高折扣,超高利润,3940.433765007185,其他,True,高频,夏
2024,11,Q4,西北,电子产品,产品20,中价,1961.8974869304336,1,0.174396305917516,787.1567678461795,17.212468470654414,28.28446519158334,17.182631761144798,1961.8974869304336,中等折扣,中利润,2299.5884732948957,高等教育,False,高频,秋
2022,9,Q3,华东,家居,产品48,低价,3074.962876329527,4,0.0236789565115236,797.3349705572074,26.222385683349152,24.45601964660441,2.1196743049817184,768.7407190823817,低折扣,高利润,3881.2915013804623,高等教育,False,低频,秋
2023,5,Q2,西南,服装,其他,低价,2004.7591045950787,5,0.0575013956490823,144.13957373955634,36.99445736586573,49.62647574583532,29.28082602731229,400.95182091901574,低折扣,超高利润,2746.4088568328166,高等教育,False,中频,春
2022,12,Q4,华南,家居,产品43,低价,1277.465704906797,7,0.1423633050475668,453.0942510028924,24.75686699695165,46.7402606968569,40.28067189183963,182.49510070097102,中等折扣,高利润,1593.7261904022437,高等教育,True,高频,冬
2022,3,Q1,华南,服装,产品15,低价,565.3298486190449,5,0.1084461449465436,831.13458172964,10.075861348995964,18.84758852139669,39.93446144647219,113.06596972380899,中等折扣,中利润,622.2917003303886,高等教育,False,高频,春
2022,5,Q2,华南,电子产品,产品12,中价,1643.100378485589,1,0.1076181058638296,309.65241827496715,36.76471001067747,10.021726614500023,31.779956845684048,1643.100378485589,中等折扣,超高利润,2247.18146782016,其他,False,高频,春
2022,5,Q2,西北,家居,产品40,低价,573.5596880099862,7,0.158780234443077,473.0711886209169,46.02374103808866,42.78941258173713,21.49388860190881,81.93709828714088,中等折扣,超高利润,837.5333135185715,其他,False,高频,春
2024,5,Q2,华北,家居,产品20,低价,966.7950590375212,8,0.1753187764768372,280.0659537728473,34.36181277827709,49.8726613141576,23.52939122242555,120.84938237969016,中等折扣,超高利润,1299.0033671736276,中等教育,False,中频,春
2022,3,Q1,西南,电子产品,产品30,中价,4937.947177039775,7,0.2390584710828573,468.9159037064709,39.82103368560652,18.16740023178405,7.024428255809168,705.4210252913964,高折扣,超高利润,6904.28878578624,高等教育,False,中频,春
2022,11,Q4,西北,家居,产品38,低价,2276.107428842431,4,0.1022899690387453,888.9595433669513,21.126314104602283,21.10032166287948,16.004752097244932,569.0268572106078,中等折扣,高利润,2756.96503361787,其他,False,中频,秋
2022,10,Q4,西南,服装,产品3,低价,2706.171655874581,8,0.241639884912176,460.5729887224418,13.243921030698568,47.37349316683413,9.26003532192404,338.27145698432264,高折扣,中利润,3064.5748929337587,中等教育,False,高频,秋
2024,4,Q2,西南,家居,产品28,低价,4380.730790812355,5,0.1015833687337897,560.3528969035772,33.92481477282317,37.00082831013904,37.132808947398,876.146158162471,中等折扣,超高利润,5866.885597291478,高等教育,False,中频,春
2022,9,Q3,华北,食品,产品26,中价,4978.2876124043705,9,0.0166298966823701,409.9365204700527,19.74970426285485,18.303724930083625,41.24917165887023,553.14306804493,低折扣,中利润,5961.484693208571,中等教育,False,低频,秋
2022,10,Q4,华南,美妆,产品30,高价,2955.30080178894,5,0.1662562953014373,465.5160113712923,43.703308354540674,31.147092107776174,24.62462350248515,591.060160357788,中等折扣,超高利润,4246.865023998974,中等教育,False,中频,秋
2024,9,Q3,华北,服装,产品13,低价,4081.121723116441,1,0.1763706974684443,25.02245705595748,10.518262249010297,47.49033107139152,33.02161778256954,4081.121723116441,中等折扣,中利润,4510.384808655156,中等教育,False,中频,秋
2024,2,Q1,西北,食品,产品13,中价,1702.0110192497089,9,0.280362073686558,290.90805486085145,24.505866487990566,41.53158981256004,6.344449919913609,189.11233547218987,高折扣,高利润,2119.10356723793,中等教育,True,高频,冬
2024,8,Q3,西北,电子产品,产品2,中价,1598.1453914917263,5,0.2178183978187423,442.2159045244061,22.85274202107736,38.38247211778968,27.775524304198488,319.62907829834523,高折扣,高利润,1963.3654349310673,其他,True,低频,夏
2022,8,Q3,西北,服装,产品37,低价,2073.248232873345,6,0.2753317957483318,637.4590062328016,47.21242340992684,38.16483402771601,31.922804940625223,345.5413721455575,高折扣,超高利润,3052.0789669163346,高等教育,True,中频,夏
2024,7,Q3,华北,美妆,产品49,高价,3395.2855871008805,4,0.2725041630729028,455.5514112483533,11.891066027198177,13.010914593152163,20.921797698501635,848.8213967752201,高折扣,中利润,3799.02123807499,中等教育,True,低频,夏
2024,8,Q3,西南,美妆,产品38,高价,3442.739277349984,6,0.1813722330774726,344.4388728883484,5.443107125540493,42.11065576525714,11.70401571671074,573.7898795583307,中等折扣,低利润,3630.131264269203,高等教育,True,中频,夏
2022,3,Q1,西南,电子产品,产品2,中价,1644.673229782309,8,0.1583286196009342,394.2177479907156,15.713834576320291,17.42533845995562,39.60447890382122,205.5841537227886,中等折扣,中利润,1903.1144604313251,高等教育,False,中频,春
2024,6,Q2,华东,电子产品,产品36,中价,752.7286282694806,3,0.1672322901490799,249.87039590846183,41.91245868958945,46.866499605568826,33.687983677963786,250.90954275649355,中等折扣,超高利润,1068.21570363764,高等教育,False,中频,夏
2022,1,Q1,西北,服装,产品26,低价,3198.741656680992,5,0.2934992423031743,925.2493399463124,14.419481722115767,21.408799595620238,40.59372040136458,639.7483313361984,高折扣,中利润,3659.9836252038103,高等教育,True,中频,冬
2023,7,Q3,西南,家居,产品11,低价,728.7967247249461,2,0.2319503075240876,526.5257935330054,15.839512866746722,43.59471786690154,37.00971648990423,364.39836236247305,高折扣,中利润,844.2345757101826,高等教育,True,中频,夏
2024,1,Q1,华东,电子产品,产品8,中价,2934.613290323717,2,0.0318797714377187,23.27535933340188,10.845446204156486,16.980507253301063,44.57647490146995,1467.3066451618586,低折扣,中利润,3252.8851960258025,高等教育,True,中频,冬
2023,9,Q3,西南,家居,产品44,低价,3497.768427475914,7,0.2335285220344199,29.251795835351142,37.19462914744432,28.15371214620082,9.455600261435752,499.68120392513055,高折扣,超高利润,4798.750422511975,中等教育,False,低频,秋
2022,1,Q1,西北,食品,产品40,中价,3532.996332332813,6,0.0511614146694677,973.2320186025212,8.112838572743772,9.809838297007726,4.81690178337486,588.8327220554688,低折扣,低利润,3819.622621555932,高等教育,True,中频,冬
2024,1,Q1,华南,美妆,产品43,高价,3792.013342232024,4,0.1342051647016877,229.23638245951255,19.904373604783476,34.70535063482783,15.828122818839375,948.003335558006,中等折扣,中利润,4546.789845013122,高等教育,True,低频,冬
2022,7,Q3,西北,家居,产品22,低价,4377.011165671756,5,0.0631379016529602,807.5522059261715,17.712442697943402,42.62356738250772,6.676183701023391,875.4022331343513,低折扣,中利润,5152.286760273951,其他,True,中频,夏
2023,2,Q1,华北,美妆,产品20,高价,2549.7990606274634,1,0.2068749196599689,67.69254854496873,29.982187840556968,37.33012765860872,24.01772496787387,2549.7990606274634,高折扣,高利润,3314.2846045415467,高等教育,True,低频,冬
2022,5,Q2,西南,家居,产品8,低价,3678.221028694899,7,0.2631929208579107,921.9511093276036,37.8687319258881,28.54663308223958,28.853271837940667,525.4601469564142,高折扣,超高利润,5071.1166896930135,其他,False,高频,春
2024,8,Q3,西南,食品,产品29,中价,3133.9464032926,8,0.0871085656100042,875.6728336300116,28.979439561353637,7.030214537065677,26.444699067629763,391.743300411575,低折扣,高利润,4042.1465071199946,其他,True,中频,夏
2024,8,Q3,华北,电子产品,产品40,中价,1014.5357050086444,9,0.0246032223624562,575.3822308101695,46.89616968387804,47.00484532268863,12.406565957171884,112.72618944540494,低折扣,超高利润,1490.3140907330267,高等教育,True,中频,夏
2023,3,Q1,华北,食品,产品26,中价,225.87925986010003,8,0.0895479294224889,18.908670710423216,47.81491874992994,36.74702968603856,40.98825736262706,28.234907482512504,低折扣,超高利润,333.88324443514995,中等教育,False,低频,春
2022,7,Q3,华南,电子产品,产品30,中价,1494.2527898169756,5,0.2017085573796583,265.2327652831042,21.265939782433197,38.56389072643999,1.931584004356652,298.8505579633951,高折扣,高利润,1812.0196882967819,高等教育,True,中频,夏
2024,3,Q1,西南,电子产品,产品17,中价,2270.865161054335,3,0.0986280382663349,412.7544209244803,39.995616932370176,40.76062589798632,16.312587565593688,756.9550536847784,低折扣,超高利润,3179.111691920278,中等教育,False,高频,春
